first,last,party,state,ideology_score,region,year,source,likes,shares,views,message,independent_label,sentiment,model_label,emotion,confidence,dominant_topic,topic_probability
Chuck,Grassley,R,IA,0.341,Midwest,2024.0,https://www.grassley.senate.gov/news/remarks/grassley-backs-practical-solutions-for-adapting-to-climate-change-welcomes-iowa-witness,,,,pushed finding practical solution adapt climate change solution im looking,opportunity,1,1,neutral,0.8362271785736084,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9181203687279709
Cindy,Hyde-Smith,R,MS,0.45,South,2024.0,X,12,6.0,1131,dems forced climate change bill said hardworking middleclass family would end paying price tax increase energy producer,risk,-1,-1,neutral,0.9439855813980103,"climate, change, energy, american, new, threat, clean, time, need, job",0.566338160883
Cindy,Hyde-Smith,R,MS,0.45,South,2024.0,X,6,5.0,736,biden admin ca get enough extreme regulation working appease extreme climate activist,risk,-1,-1,neutral,0.9608544111251831,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.92567508419682
Cindy,Hyde-Smith,R,MS,0.45,South,2023.0,X,12,2.0,1314,demand climate activist carbon tax one weapon american worker industry tax regressive stifle growth innovation carbon tax would different stress fact resolution,risk,-1,-1,neutral,0.9426482319831848,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.7127142152829878
Cory,Booker,D,NJ,-0.572,Northeast,2024.0,X,93,26.0,8843,bidenharris administration made unprecedented advancement combatting climate change creating clean energy economy creating clean energy job four year,opportunity,1,1,neutral,0.7233374118804932,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9491182692092095
Cory,Booker,D,NJ,-0.572,Northeast,2023.0,X,416,99.0,44300,effect climate change know border threatens vividly demonstrated week hazardous wildfire smoke thats affecting northeastern severe pattern within global crisis growing,opportunity,1,1,neutral,0.6415761113166809,"climate, change, energy, american, new, threat, clean, time, need, job",0.9519259534048067
Cory,Booker,D,NJ,-0.572,Northeast,2019.0,X,4600,898.0,,first question asked iowa hard truth climate change imperiled planetits going take bold action save including dramatic investment green energy create job future,opportunity,1,1,neutral,0.7264519333839417,"climate, energy, change, future, clean, action, protect, crisis, need, generation",0.957208048830192
Deb,Fischer,R,NE,0.464,Midwest,2024.0,X,66,27.0,4153,bidenharris administration progressive policy putting broadband buildout back burner prioritizing dei climate activism infrastructure senator thune sent broadband czar harris letter outlining concern,risk,-1,1,neutral,0.8271881937980652,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9378021599680314
Deb,Fischer,R,NE,0.464,Midwest,2024.0,X,9,3.0,1244,climate party talk big game future planet present farm bill negotiation continue month month democrat want neglect producer need favor activist program,risk,-1,1,neutral,0.9665265679359436,"climate, change, energy, american, new, threat, clean, time, need, job",0.954870830353744
Deb,Fischer,R,NE,0.464,Midwest,2024.0,X,10,2.0,1203,usda problem searching high low justify billion climate fundingbut come funding critically important report producer agency somehow run resource,risk,-1,-1,neutral,0.9538966417312622,"climate, change, energy, american, new, threat, clean, time, need, job",0.9421772326215037
Dick,Durbin,D,IL,-0.37,Midwest,2024.0,X,33,10.0,17300,great join unveiling chicago institute climate sustainable growth today addressing climate crisis mean inspiring young leader break siloes science policy program,opportunity,1,1,admiration,0.8811319470405579,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9521534032281364
Dick,Durbin,D,IL,-0.37,Midwest,2021.0,X,38,10.0,,climate action opportunity cleaner future also unprecedented opportunity invest equitable sustainable economy working people illinois around country going get done,opportunity,1,1,neutral,0.8271723389625549,"climate, energy, change, future, clean, action, protect, crisis, need, generation",0.9459173841997957
Dick,Durbin,D,IL,-0.37,Midwest,2024.0,X,70,28.0,6553,long supported effort fight climate crisis including creation climate corp modeled fdr civilian conservation corp improve america public land forest park glad see potus announce american apply,opportunity,1,1,joy,0.49754223227500916,"climate, change, energy, american, new, threat, clean, time, need, job",0.9567404765357168
Gary,Peters,D,MI,-0.233,Midwest,2017.0,X,119,48.0,,america global leader tackling climate change good environment economy national security,opportunity,1,1,neutral,0.5570991635322571,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9318632396999731
Gary,Peters,D,MI,-0.233,Midwest,2019.0,X,1.1k,243.0,,didnt get time travel specific great conversation chris evans importance bipartisanship protecting net neutrality addressing climate change,opportunity,1,1,neutral,0.5712568163871765,"climate, change, energy, american, new, threat, clean, time, need, job",0.9189382779425547
Gary,Peters,D,MI,-0.233,Midwest,2019.0,X,136,49.0,,two year ago president trump withdrew paris agreement since climate change continued warm great lake faster region cause flood damage day extreme heat harm fishing tourism ag industry,opportunity,1,1,neutral,0.7006369233131409,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9649586847786104
Jack,Reed,D,RI,-0.394,Northeast,2024.0,X,11,2.0,1018,coastal community front line climate change week asked admin criswell surging federal funding ri deal increasing impact storm flooding severe weather event,opportunity,1,1,neutral,0.9662171006202698,"climate, change, gas, emission, greenhouse, family, impact, im, crisis, dont",0.9572447482374908
Jack,Reed,D,RI,-0.394,Northeast,2024.0,X,20,6.0,2229,joined timely discussion health effect climate change researcher scientist across ri ill continue supporting work ensure best positioned keep community safe healthy,opportunity,1,1,neutral,0.6078104972839355,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.951997776137618
Jack,Reed,D,RI,-0.394,Northeast,2024.0,X,88,30.0,,climate change impact especially ocean state great meet dedicated group riers taking part hill day advocate climate action protect public health environment economy,opportunity,1,1,neutral,0.8425924777984619,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.550268465106656
James,Lankford,R,OK,0.567,South,2024.0,X,31,8.0,3061,biden admins climate overreach controlgoing stove car dishwasher voted block rule controlling heat home price already sky high oklahoman want spending paycheck brand new green furnace,risk,-1,-1,neutral,0.9159181118011475,"climate, change, energy, american, new, threat, clean, time, need, job",0.9521903451509026
James,Lankford,R,OK,0.567,South,2024.0,X,55,18.0,13200,biden admins decision pause natural gas export win climate activist put american family last pushing back,risk,-1,-1,neutral,0.9459030628204346,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9418185366372086
James,Lankford,R,OK,0.567,South,2022.0,https://www.lankford.senate.gov/news/press-releases/lankford-moves-to-stop-the-flawed-social-cost-of-carbon-from-driving-energy-regulations/,,,,oklahoman want clean air land water social cost carbon created without transparency public industry impact basis reality,opportunity,1,1,neutral,0.8778636455535889,"climate, energy, change, future, clean, action, protect, crisis, need, generation",0.7476815598972911
Jeff,Merkley,D,OR,-0.446,West,2019.0,X,414,93.0,,senator representative local elected official talking climate change crisis facechange conversation getting along get along longer option,opportunity,1,1,neutral,0.9660043716430664,"climate, change, energy, american, new, threat, clean, time, need, job",0.9179125279592174
Jeff,Merkley,D,OR,-0.446,West,2024.0,X,98,25.0,7875,work together address climate chaos must make sure folk oregon across country resource need deal impactsincluding deadly heatthat already feeling,opportunity,1,1,neutral,0.4956321716308594,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.544572576207895
Jeff,Merkley,D,OR,-0.446,West,2024.0,X,120,39.0,16200,build clean energy future right america creating goodpaying job protecting planet wrote good job st century energy act fought get structure bill inflation reduction act progress people,opportunity,1,1,admiration,0.5201210975646973,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.4977403968129452
Jeff,Merkley,D,OR,-0.446,West,2023.0,X,124,76.0,7735,bottom line take little percent gas leak make natural gas big driver climate change coal study found every fossil gas system leak fossil methane gas climate killer climate solution,opportunity,1,1,neutral,0.9241553544998169,"climate, change, energy, american, new, threat, clean, time, need, job",0.9629399251643563
Joni,Ernst,R,IA,0.535,Midwest,2024.0,X,36,11.0,2556,instead reducing trillion regulatory burden sbagov expanding program providing loan reduce climate change admin talk creating opportunity economy opportunity radical climate group real polluter china,risk,-1,-1,neutral,0.9492037296295166,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9627614021351696
Joni,Ernst,R,IA,0.535,Midwest,2023.0,X,10,3.0,1732,biden belief climate change ultimate threat humanity take threat posed american iranbacked terrorist chinese aggression seriously,risk,-1,1,neutral,0.9608322978019714,"climate, change, energy, american, new, threat, clean, time, need, job",0.9324609802011342
Joni,Ernst,R,IA,0.535,Midwest,2024.0,X,408,36.0,23300,goodbye green new deal nonsense hello affordable gas,risk,-1,-1,neutral,0.6584965586662292,"climate, change, energy, american, new, threat, clean, time, need, job",0.8639780586381361
John,Boozman,R,AR,0.405,West,2024.0,X,7,3.0,1060,amid another backdoor attempt enforce radical climate policy ca pas congress clearly cra block itharmful consequence economy american worker ive joined,risk,-1,-1,neutral,0.957297682762146,"climate, change, energy, american, new, threat, clean, time, need, job",0.9489231737791698
John,Boozman,R,AR,0.405,West,2024.0,X,4,,1477,biden administration continues use federal rulemaking process impose extreme climate agenda american family time fuel economy standard targeting gaspowered car truck colleague demanding abandon radical policy,risk,-1,-1,neutral,0.9609853029251099,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9591858972472894
John,Boozman,R,AR,0.405,West,2024.0,X,7,4.0,2010,biden administration rejected common sense pursuit extreme climate agenda latest overburdensome unattainable air quality regulation epa undermining economy injecting key industry disruption uncertainty,risk,-1,-1,neutral,0.5145473480224609,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9520847164816867
John,Cornyn,R,TX,0.47,South,2023.0,X,136,34.0,29100,thats smoke climate change,risk,-1,1,neutral,0.9487720727920532,"climate, change, energy, american, new, threat, clean, time, need, job",0.8359177871518564
John,Cornyn,R,TX,0.47,South,2024.0,X,4,3.0,2025,inflationary spending biden spending trillion fight climate change voter arent moved campaign hoping get young people excited,risk,-1,1,excitement,0.439945787191391,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9374082162397774
John,Cornyn,R,TX,0.47,South,2018.0,X,271,97.0,,regarding climate change think number urgent matter presenting enormous danger america,risk,-1,1,fear,0.48406001925468445,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.909668679528557
John,Fetterman,D,PA,-0.342,Northeast,2024.0,X,197,34.0,20900,farmer part solution fighting climate change protecting climate guardrail ira let,opportunity,1,1,neutral,0.9213992953300476,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.6133083790201548
John,Fetterman,D,PA,-0.342,Northeast,2023.0,X,678,123.0,18800,could clearer climate change existential threat need act mitigate worst climate change late,opportunity,1,1,neutral,0.8922604322433472,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9322407276109337
John,Fetterman,D,PA,-0.342,Northeast,2021.0,X,531,55.0,15400,year later message time bold action climate change existential threat need transition clean energy quickly possible must uphold union way life worker across pa create thousand goodpaying union job,opportunity,1,1,neutral,0.9095069169998169,"climate, change, energy, american, new, threat, clean, time, need, job",0.9658557032266064
John,Hoeven,R,ND,0.397,Midwest,2024.0,X,88,34.0,27200,consumer paying energy today bidenharris administration doubling failed green new deal policy must producing energy use abundance resource get economy back track,risk,-1,-1,neutral,0.9399266242980957,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9490800498346712
John,Hoeven,R,ND,0.397,Midwest,2022.0,X,9,6.0,,adversary trying build weapon system defeat potus want put green new deal mandate military defense industry drive cost men woman uniform need effective defense system available,risk,-1,1,neutral,0.9565937519073486,"climate, change, gas, emission, greenhouse, family, impact, im, crisis, dont",0.9518813720644692
John,Hoeven,R,ND,0.397,Midwest,2023.0,https://www.hoeven.senate.gov/news/news-releases/hoeven-pushing-back-on-biden-administrations-harmful-regulatory-agenda,,,,time biden administration pushed heavyhanded regulation appease environmentalist ally hurting economy undermining domestic energy production leading higher price consumer,risk,-1,-1,neutral,0.7248112559318542,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9571028586760782
John,Kennedy,R,LA,0.56,South,2024.0,X,20000,7500.0,1300000,democrat want spend trillion become carbon neutral held hearing tell dem witness carbon dioxide huge part atmosphere actually small part atmosphere dem witness well okay yeah dont know,risk,-1,1,neutral,0.5913317203521729,"climate, energy, change, future, clean, action, protect, crisis, need, generation",0.9596056036242526
John,Kennedy,R,LA,0.56,South,2023.0,X,10000,3100.0,170700,seems like people radical climate agenda one cant give straight answer much actually cost go carbon neutral fairminded policymaker want embark something even expert cant explain guarantee,risk,-1,-1,neutral,0.823732316493988,"climate, change, energy, american, new, threat, clean, time, need, job",0.9319130819076479
John,Kennedy,R,LA,0.56,South,2024.0,https://www.foxnews.com/video/6349705249112,,,,defund police go carbon neutral,risk,-1,1,neutral,0.9422782063484192,"climate, energy, change, future, clean, action, protect, crisis, need, generation",0.7319067798604711
John,Hickenlooper,D,CO,-0.246,West,2024.0,X,29,7.0,2850,inflation reduction act helping farmer rural small business get climate resilient keep feeding uplifting america,opportunity,1,-1,neutral,0.637315571308136,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.932123626090026
John,Hickenlooper,D,CO,-0.246,West,2022.0,X,1900,543.0,,much closer climate deal people realize let throw towel yet fighting climate change important august recess,opportunity,1,1,realization,0.7645620107650757,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9258456183850985
John,Hickenlooper,D,CO,-0.246,West,2024.0,X,55,21.0,6922,inflation reduction act tackling climate change getting closer clean economy need update transmission infrastructure finish job harris get trump still think climate change hoax,opportunity,1,-1,neutral,0.9303088784217834,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9614877505485017
Jon,Ossoff,D,GA,-0.422,South,2020.0,X,177,94.0,,tackling climate change health prosperity ca one without,opportunity,1,1,neutral,0.8955717086791992,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.8649245204606927
Jon,Ossoff,D,GA,-0.422,South,2020.0,X,122,36.0,,opponent say nobody really know human contribute climate change dismisses nasa military scientist listens oil gas lobbyist ill trust scientist corporate lobbyist vote massive clean energy investment,opportunity,1,1,neutral,0.8878955245018005,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9571005858476115
Jon,Ossoff,D,GA,-0.422,South,2020.0,X,3600,991.0,,climate change immigration criminal justice reform ballot january th,opportunity,1,1,neutral,0.9362763166427612,"climate, change, energy, american, new, threat, clean, time, need, job",0.8653917026764697
Jon,Ossoff,D,GA,-0.422,South,2017.0,X,7300,4500.0,,walk away commitment reduce carbon emission help fight climate change history condemn,opportunity,1,1,neutral,0.8214247226715088,"climate, energy, change, future, clean, action, protect, crisis, need, generation",0.4751886164548811
Josh,Hawley,R,MO,0.803,Midwest,2023.0,X,241,51.0,98500,company making billion profit spending billion idiotic climate change initiative make china rich kill american job spend money american worker,risk,-1,-1,neutral,0.4753701388835907,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9571256167734858
Josh,Hawley,R,MO,0.803,Midwest,2023.0,X,915,266.0,44800,biggest winner bidens huge climate change deal cornerstone bidenomics china,risk,-1,-1,neutral,0.9472965002059937,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9184533183382777
Josh,Hawley,R,MO,0.803,Midwest,2024.0,X,9000,2100.0,599500,biden administration want turn missouri national transmission corridor green energy taking farmer land way wont vote energy dept nominee bureaucrat unless pledge fight,risk,-1,-1,neutral,0.957389771938324,"climate, change, energy, american, new, threat, clean, time, need, job",0.5718580913732191
Katie,Britt,R,AL,0.565,South,2024.0,X,61,14.0,27300,leftwing activist keep trying make american energy bogeyman conservative stand strong truth american energy clean american energy dominance essential,risk,-1,-1,neutral,0.7513910531997681,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9457686111808404
Katie,Britt,R,AL,0.565,South,2024.0,X,110,36.0,7354,encounter month secretary mayorkas blame climate change call displacement people wont call illegal migration wont call border crisis wont acknowledge administration policy fueling,risk,-1,-1,neutral,0.9297397136688232,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.5470220389268525
Katie,Britt,R,AL,0.565,South,2024.0,X,8700,823.0,858000,must energy independent energy dominant,risk,-1,1,neutral,0.964432954788208,"climate, energy, change, future, clean, action, protect, crisis, need, generation",0.8378901152107207
Kevin,Cramer,R,ND,0.392,Midwest,2024.0,https://www.cramer.senate.gov/news/press-releases/sen-cramer-discusses-tackling-climate-change-on-npr,,,,reject notion stop fossil fuel production fossil fuel use america solve climate change let focused hate coal focus let reduce emission,risk,-1,-1,neutral,0.5531893968582153,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9595640063351669
Kevin,Cramer,R,ND,0.392,Midwest,2024.0,X,5,4.0,5669,finalized rule mandating state measure greenhouse gas emission highway system set declining target despite lacking authority congress,opportunity,1,1,neutral,0.8570364713668823,"climate, change, gas, emission, greenhouse, family, impact, im, crisis, dont",0.9267514521956073
Kevin,Cramer,R,ND,0.392,Midwest,2024.0,X,1,1.0,227,endorsement reflects shared commitment promoting energy independence supporting policy strengthen economy protecting environment,opportunity,1,-1,approval,0.5403973460197449,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9087658272792268
Kirsten,Gillibrand,D,NY,-0.309,Northeast,2024.0,X,9,3.0,2252,happy im grateful upstate new york home picturesque natural landscape country must continue combating threat climate change protecting environment generation come get one planet,opportunity,1,1,gratitude,0.8364102840423584,"climate, change, energy, american, new, threat, clean, time, need, job",0.9518641598149006
Kirsten,Gillibrand,D,NY,-0.309,Northeast,2018.0,X,1600,420.0,,take impact climate change need take bold action need rein corporate polluter big oil need invest technological innovation renewable energy need finally pas reform protect planet,opportunity,1,1,neutral,0.902461588382721,"climate, energy, change, future, clean, action, protect, crisis, need, generation",0.5351037356856893
Kirsten,Gillibrand,D,NY,-0.309,Northeast,2024.0,X,107,24.0,22000,historic flooding week wildfire smoke new yorkers already dealing effect climate change helped pas biggest climate change law senate ever passed still much work ill keep fighting clean air clean water safe livable future new yorkers,opportunity,1,1,neutral,0.6681894063949585,"climate, change, energy, american, new, threat, clean, time, need, job",0.6032981681124004
Lindsey,Graham,R,SC,0.417,South,2019.0,https://www.cnbc.com/2023/02/18/climate-reparations-are-not-going-to-be-helpful-us-sen-lindsey-graham-says.html,,,,think best thing planet come lowcarbon technology sooner rather later get people like china india big emitter play,opportunity,1,1,neutral,0.8479546308517456,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9375229444696198
Lindsey,Graham,R,SC,0.417,South,2022.0,X,1100,285.0,,cant believe manchin agreeing massive tax increase name climate change economy recession,risk,-1,-1,neutral,0.27579742670059204,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.8986432735055734
Lindsey,Graham,R,SC,0.417,South,2024.0,https://www.cnbc.com/2023/02/18/climate-reparations-are-not-going-to-be-helpful-us-sen-lindsey-graham-says.html,,,,climate change real let find rational solution problem winwin,opportunity,1,1,approval,0.5440618395805359,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.8841783730119256
Lisa,Murkowski,R,AK,0.208,South,2021.0,X,242,25.0,,attended cop recognize climate change real need act need work togetheracross aisle rest worldto find reasonable way reduce emission without harming economy,opportunity,1,1,neutral,0.7482810616493225,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.4743003891432792
Lisa,Murkowski,R,AK,0.208,South,2024.0,X,42,9.0,8770,rural alaska community frontline climate change facing devastating impact extreme weather event,opportunity,1,1,sadness,0.38864606618881226,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9323965074692094
Lisa,Murkowski,R,AK,0.208,South,2024.0,X,55,14.0,6337,selection climate resilience project across tribal community alaska significant step forward addressing growing threat impact climate change incorporating indigenous knowledge prioritizing community driven initiative ensure resource effectively meet unique need tribe,opportunity,1,1,neutral,0.8469218015670776,"climate, change, act, reduction, inflation, energy, clean, planet, job, economy",0.9661560984795774
Maggie,Hassan,D,NH,-0.236,Northeast,2022.0,X,46,20.0,,climate change threatens nh community must act protect future generation im grateful support together end tax break big oil address climate crisis build clean energy future nh country,opportunity,1,1,gratitude,0.9243708252906799,"climate, energy, change, future, clean, action, protect, crisis, need, generation",0.9672308165076509
Maggie,Hassan,D,NH,-0.236,Northeast,2024.0,X,19,4.0,1274,bipartisan infrastructure law continuing deliver new hampshire derry cooperative school district using federal funding get new clean school bus good student health lower cost community help combat climate change,opportunity,1,1,neutral,0.8875085115432739,"climate, change, energy, american, new, threat, clean, time, need, job",0.9673085205178317
Maggie,Hassan,D,NH,-0.236,Northeast,2023.0,X,19,8.0,2428,climate change pose real threat seacoast community including shoreline wagon hill farm durham worked increase funding bipartisan infrastructure law coastal resilience project helping preserve area future generation,opportunity,1,1,neutral,0.6199277639389038,"climate, energy, change, future, clean, action, protect, crisis, need, generation",0.9645989877127983
Maria,Cantwell,D,WA,-0.292,West,2023.0,X,10,8.0,3797,artificial intelligence thing like quantum computing game changer potential help solve pressing global challenge like climate change hunger poverty disease pivotal competitiveness future,opportunity,1,1,neutral,0.518667459487915,"climate, change, energy, american, new, threat, clean, time, need, job",0.9523151975759263
Maria,Cantwell,D,WA,-0.292,West,2023.0,X,40,17.0,4835,mounting climate impact increased need protect america last remaining wild forestlands reduce wildland fire risk store huge amount carbon,opportunity,1,1,neutral,0.8027245998382568,"climate, energy, change, future, clean, action, protect, crisis, need, generation",0.5573759772038673
Maria,Cantwell,D,WA,-0.292,West,2017.0,X,32,15.0,,hypothesis happening,opportunity,1,1,neutral,0.9686652421951294,"climate, change, energy, american, new, threat, clean, time, need, job",0.5968310331673712
Mark,Kelly,D,AZ,-0.218,West,2024.0,X,149,48.0,9992,changing climate stress infrastructure im ensuring arizona well prepared handle thanks bipartisan infrastructure law strengthening grid reliability resiliency arizona,opportunity,1,1,gratitude,0.9818518161773682,"climate, change, energy, american, new, threat, clean, time, need, job",0.9548927585322116
Mark,Kelly,D,AZ,-0.218,West,2024.0,X,275,88.0,8076,arizonan climate change isnt term everyday reality confront historic drought record heat wave important take action protect planet kid grandkids,opportunity,1,1,neutral,0.45843586325645447,"climate, change, energy, american, biden, economy, administration, stop, america, action",0.9546016910466365
